Age,Partners,Single,Children,Basic,Graduation,AdvanceEducation,Income,TotalSpendings,PlaceSpendings,WebEnrollment,MonthEnrollment,Accepting_Cmps,Recency,Complain,Response
38,1,0,2,0,0,1,19510.0,30,6,7,117,0,63,0,0
47,0,1,1,0,1,0,30992.0,43,5,7,117,0,83,0,0
40,0,1,0,0,1,0,101970.0,1135,27,2,109,3,69,0,1
58,1,0,0,0,0,1,71488.0,559,16,1,119,0,87,0,0
39,0,1,0,0,1,0,79607.0,1923,16,1,117,0,37,0,1
70,1,0,2,0,0,1,54348.0,90,8,6,101,0,51,0,0
67,1,0,2,0,0,1,77376.0,661,23,4,99,0,72,0,0
71,1,0,1,0,1,0,62998.0,463,19,5,112,0,10,0,0
65,0,1,2,0,0,1,61331.0,632,23,8,111,0,42,0,0
54,1,0,0,0,1,0,73448.0,725,19,4,99,0,10,0,0
59,1,0,2,0,0,1,41551.0,279,16,8,113,0,51,0,0
56,1,0,0,0,0,1,62981.0,1482,23,3,118,1,21,0,0
47,0,1,1,1,0,0,9548.0,29,6,8,125,0,31,0,0
64,1,0,3,0,0,1,33762.0,106,9,8,114,0,61,0,0
50,0,1,2,0,0,1,35860.0,49,6,5,104,1,37,0,1
58,0,1,2,0,0,1,36921.0,38,7,7,114,0,74,0,0
31,0,1,0,0,0,1,92859.0,2077,22,2,123,0,46,0,0
47,1,0,1,0,0,1,65104.0,1053,17,7,110,0,4,0,1
61,1,0,0,0,1,0,86111.0,1385,23,2,117,0,73,0,0
49,0,1,1,0,0,1,68352.0,871,25,6,113,0,47,0,0
35,1,0,1,0,1,0,41883.0,312,12,7,118,0,13,0,0
47,1,0,2,0,1,0,59809.0,877,15,8,123,0,36,0,0
48,1,0,1,0,1,0,23957.0,68,6,6,123,0,47,0,1
42,1,0,1,0,1,0,38547.0,22,4,8,113,0,49,1,0
50,1,0,3,0,0,1,35688.0,211,16,8,125,0,94,0,0
57,1,0,0,0,0,1,49605.0,127,8,3,103,0,65,0,0
70,1,0,2,0,0,1,59354.0,459,16,3,105,0,59,0,0
54,1,0,1,0,1,0,65747.0,460,19,6,102,1,96,0,0
51,1,0,1,0,0,1,46344.0,429,17,7,121,0,28,0,0
35,0,1,1,0,1,0,34176.0,89,11,6,97,0,12,0,0
71,1,0,1,0,0,1,61010.0,1021,26,5,124,0,57,0,0
74,1,0,0,0,1,0,69372.0,1381,21,4,119,2,10,0,1
65,0,1,1,0,1,0,49967.0,306,15,7,113,0,4,0,0
45,0,1,3,0,1,0,60199.0,18,4,4,109,0,49,0,0
46,1,0,1,0,1,0,55375.0,162,9,2,111,0,3,0,0
68,0,1,0,0,1,0,80317.0,1231,18,1,113,0,64,0,0
65,0,1,3,0,0,1,30523.0,13,4,7,120,0,0,0,0
78,1,0,0,0,0,1,70356.0,1706,27,6,128,0,20,0,0
39,1,0,1,0,1,0,23228.0,121,11,8,104,0,91,0,0
48,0,1,0,0,0,1,74165.0,1293,20,2,120,0,9,0,0
57,1,0,3,0,1,0,43482.0,88,9,6,110,0,83,0,0
70,0,1,0,0,1,0,62551.0,421,18,3,110,1,27,0,0
64,0,1,0,0,1,0,52332.0,259,12,4,113,1,63,0,0
35,0,1,0,0,1,0,66951.0,1117,15,1,119,0,46,0,0
66,1,0,2,0,1,0,26091.0,89,9,5,107,0,84,0,0
58,1,0,2,0,1,0,33456.0,36,6,7,105,0,58,0,0
41,1,0,1,0,1,0,28718.0,57,7,8,114,0,78,0,0
53,1,0,2,0,1,0,50447.0,148,8,6,105,0,4,0,0
64,1,0,2,0,0,1,53537.0,93,8,5,108,0,17,0,0
56,0,1,1,0,1,0,52074.0,119,7,4,105,1,77,0,0
48,1,0,1,0,0,1,80427.0,1835,28,5,121,0,56,0,0
75,1,0,0,0,0,1,83837.0,1318,25,4,121,2,79,0,1
53,1,0,2,0,0,1,38853.0,45,7,7,104,0,90,0,0
64,1,0,3,0,1,0,38285.0,10,4,2,103,0,96,0,0
72,1,0,0,0,0,1,78497.0,978,25,2,120,1,44,0,0
47,1,0,1,0,0,1,51650.0,191,10,5,98,0,81,0,0
35,1,0,1,0,0,1,16248.0,57,9,6,99,0,77,0,0
77,1,0,0,0,0,1,66835.0,1033,24,2,112,0,21,0,0
39,1,0,1,0,0,1,30477.0,66,6,6,108,0,16,0,0
62,1,0,0,1,0,0,28249.0,43,6,6,103,0,80,0,0
40,1,0,1,0,1,0,25271.0,50,5,9,128,0,45,0,0
53,0,1,1,0,0,1,32303.0,39,7,5,101,0,63,0,0
57,1,0,1,0,1,0,61286.0,608,18,5,119,0,34,0,0
47,1,0,0,0,1,0,74068.0,1581,24,2,118,0,14,0,0
59,1,0,2,0,0,1,45759.0,68,7,7,119,0,13,0,0
45,1,0,1,1,0,0,24882.0,80,5,6,124,1,52,0,0
34,1,0,0,0,0,1,66973.0,1282,28,3,116,0,98,0,0
35,1,0,1,0,1,0,38872.0,91,8,8,116,0,93,0,0
50,1,0,2,0,1,0,51148.0,315,16,6,119,0,38,0,0
46,1,0,2,0,1,0,31353.0,31,6,8,109,0,24,0,0
43,1,0,0,0,0,1,69661.0,834,23,3,104,0,80,0,0
69,1,0,0,0,1,0,80067.0,1600,17,2,112,1,82,0,0
69,1,0,0,0,1,0,86718.0,1270,17,2,120,0,20,0,0
50,0,1,2,0,0,1,46854.0,263,15,8,106,1,81,0,1
71,0,1,1,0,1,0,69142.0,535,19,5,103,1,50,0,0
55,0,1,0,0,1,0,75922.0,1295,18,1,112,0,60,0,0
45,0,1,1,0,1,0,63693.0,1150,29,6,111,0,63,0,0
46,1,0,0,0,0,1,102160.0,1240,26,4,131,3,54,0,1
58,0,1,2,0,0,1,40637.0,38,6,7,114,0,72,0,0
39,0,1,0,0,0,1,18890.0,35,4,6,123,1,5,0,1
35,1,0,1,0,1,0,29604.0,53,5,9,113,1,88,0,0
60,0,1,2,0,0,1,48721.0,293,17,6,116,0,50,0,0
57,1,0,1,0,1,0,44794.0,65,6,6,101,0,99,0,0
69,0,1,1,0,1,0,64497.0,1804,29,8,123,1,17,0,1
67,1,0,1,0,1,0,46097.0,241,15,4,118,0,11,0,0
69,1,0,0,0,1,0,77972.0,1101,20,1,106,0,18,0,0
55,1,0,2,0,0,1,44377.0,264,19,8,128,0,70,0,0
49,1,0,2,0,0,1,46014.0,541,26,7,120,0,21,0,0
38,1,0,0,0,1,0,70951.0,1198,17,1,117,0,66,0,0
46,1,0,1,0,1,0,41443.0,482,20,8,108,0,79,0,0
45,0,1,3,0,0,1,52195.0,17,4,8,97,0,2,0,0
75,1,0,0,0,0,1,83790.0,1615,25,3,110,2,81,0,0
69,0,1,1,0,0,1,44551.0,285,12,7,113,0,24,0,0
43,1,0,1,0,1,0,69508.0,1135,28,6,122,0,48,0,0
35,1,0,1,0,0,1,45204.0,114,7,3,98,0,93,0,0
54,1,0,0,0,1,0,72460.0,1047,16,1,110,0,56,0,0
53,1,0,2,0,0,1,77622.0,714,22,3,105,0,3,0,0
43,1,0,1,0,0,1,30732.0,185,13,8,116,0,44,0,0
61,0,1,1,0,1,0,63887.0,1245,32,6,125,0,38,0,0
45,1,0,1,0,1,0,42011.0,189,12,8,118,0,46,0,0
47,1,0,1,0,1,0,51369.0,576,16,8,123,0,84,0,0
71,0,1,1,0,1,0,51537.0,1103,18,8,124,0,27,0,0
51,1,0,0,0,0,1,79930.0,1753,17,2,125,0,72,0,0
37,1,0,1,0,0,1,34320.0,17,4,8,107,0,66,0,0
57,0,1,2,0,1,0,37070.0,433,23,7,118,0,30,0,1
61,0,1,1,0,0,1,81975.0,1588,14,7,116,1,2,0,0
52,1,0,1,0,1,0,38590.0,22,4,8,116,0,65,0,0
72,0,1,0,0,1,0,15033.0,19,5,3,105,0,37,0,0
58,1,0,1,0,0,1,62745.0,1117,29,5,118,0,89,0,0
48,1,0,1,0,0,1,22212.0,69,8,6,112,0,49,0,0
41,1,0,1,0,0,1,23661.0,23,5,7,117,0,46,0,0
65,0,1,1,0,0,1,79761.0,605,19,3,117,0,32,0,0
50,0,1,1,0,1,0,7500.0,57,11,7,109,0,54,0,0
55,0,1,0,0,1,0,73455.0,2088,22,3,111,1,98,0,0
65,1,0,1,0,1,0,64961.0,1009,16,3,121,0,97,0,0
52,0,1,1,0,1,0,22804.0,26,5,9,114,0,75,0,0
33,1,0,0,0,1,0,73687.0,1627,22,2,110,1,8,0,1
65,1,0,1,0,1,0,61074.0,1102,31,7,125,0,37,0,0
59,1,0,2,0,0,1,31686.0,17,6,6,104,0,31,0,0
51,1,0,1,0,1,0,80134.0,1690,16,6,116,3,40,0,1
70,1,0,1,0,1,0,75027.0,1390,21,5,112,0,74,0,0
35,1,0,0,0,0,1,67546.0,2126,20,3,125,0,90,0,0
54,1,0,1,0,0,1,65176.0,1531,25,6,123,0,57,0,0
48,0,1,1,0,0,1,31160.0,64,7,8,112,0,59,0,0
38,0,1,1,0,1,0,29938.0,26,6,6,111,0,52,0,0
49,0,1,0,0,1,0,102692.0,1112,29,2,116,4,5,0,1
65,1,0,0,0,0,1,26490.0,210,11,6,124,0,92,0,0
56,1,0,2,0,1,0,75702.0,1148,26,8,125,0,77,0,0
49,0,1,1,0,0,1,30899.0,33,6,6,123,0,35,0,0
62,1,0,1,0,0,1,63342.0,1101,19,6,123,1,48,0,0
59,0,1,1,0,1,0,45989.0,322,16,3,123,0,97,0,0
59,0,1,2,0,1,0,18701.0,44,10,5,117,0,95,0,0
66,0,1,3,0,0,1,40737.0,17,4,8,113,0,24,0,0
44,0,1,1,0,1,0,15287.0,31,6,7,123,1,60,0,1
55,0,1,2,0,0,1,69674.0,845,25,5,116,0,46,0,0
53,1,0,1,0,0,1,44159.0,275,15,5,103,0,85,0,0
45,1,0,1,0,0,1,37717.0,25,4,9,122,0,31,0,0
71,1,0,2,0,0,1,43776.0,275,17,8,118,0,9,0,1
57,1,0,2,0,0,1,38179.0,90,11,7,118,0,30,0,0
60,1,0,0,0,1,0,80124.0,1495,19,1,103,1,47,0,0
53,1,0,2,0,0,1,38097.0,184,11,7,123,1,70,0,1
53,1,0,0,0,1,0,72940.0,981,13,1,115,0,13,0,0
53,1,0,1,0,1,0,22070.0,67,8,6,117,0,11,0,0
70,0,1,0,0,1,0,69267.0,1635,14,7,124,0,31,0,1
40,0,1,1,0,0,1,31788.0,60,10,5,106,0,15,1,0
48,1,0,1,0,0,1,61905.0,231,12,5,105,0,2,0,0
63,1,0,2,0,1,0,29315.0,48,10,6,103,0,55,0,0
60,0,1,2,0,1,0,33378.0,99,9,7,115,0,38,0,0
60,1,0,1,0,0,1,66313.0,770,23,4,112,0,86,0,0
67,0,1,0,0,1,0,60714.0,957,23,5,120,0,56,0,1
42,1,0,0,0,0,1,77882.0,818,12,1,105,0,29,0,0
37,0,1,0,0,0,1,69867.0,925,17,1,119,1,30,0,1
55,0,1,1,0,0,1,63841.0,908,22,6,117,0,64,0,0
42,1,0,1,1,0,0,24480.0,102,10,7,110,0,46,0,0
47,1,0,1,0,1,0,51369.0,576,16,8,123,0,84,0,0
77,1,0,0,0,1,0,37760.0,317,13,7,125,0,20,0,0
49,1,0,1,0,0,1,65640.0,461,15,2,108,0,74,0,0
48,1,0,2,0,0,1,44319.0,37,7,5,105,0,18,0,0
49,1,0,1,0,1,0,30631.0,70,7,7,109,0,75,0,0
71,1,0,0,0,1,0,75278.0,930,23,3,120,0,17,0,0
67,1,0,2,0,0,1,50898.0,859,33,5,113,0,88,0,0
57,0,1,0,0,1,0,79946.0,1478,22,3,97,0,19,0,0
74,0,1,0,0,0,1,35416.0,390,16,8,115,0,62,0,0
39,1,0,0,0,0,1,32414.0,52,5,7,117,1,11,0,0
54,1,0,1,0,1,0,38361.0,137,10,7,109,0,74,0,0
43,1,0,0,0,1,0,82497.0,1919,19,4,123,1,32,0,0
52,1,0,2,0,1,0,16626.0,68,9,9,108,0,76,0,0
58,1,0,2,0,1,0,29672.0,25,4,6,109,0,6,0,0
71,1,0,1,0,0,1,55951.0,1374,23,8,125,2,62,0,0
35,0,1,1,0,0,1,35388.0,32,5,7,114,0,20,0,0
37,1,0,1,0,0,1,42386.0,100,7,8,120,0,43,0,0
41,0,1,0,0,1,0,68627.0,825,12,1,109,0,45,0,0
58,0,1,1,0,0,1,57912.0,916,28,5,106,1,34,0,0
65,0,1,2,0,1,0,35246.0,62,11,5,105,0,53,0,0
67,1,0,1,0,0,1,58821.0,728,21,6,109,0,44,0,0
45,1,0,1,0,0,1,46377.0,90,7,4,108,0,89,0,0
35,0,1,1,0,1,0,39747.0,273,13,8,105,0,43,0,0
39,1,0,1,0,1,0,23976.0,66,10,7,109,0,68,0,0
62,1,0,0,0,0,1,80950.0,1213,23,2,118,1,44,0,0
57,0,1,0,0,1,0,27038.0,107,7,9,124,0,64,0,1
76,0,1,0,0,1,0,77457.0,1157,18,1,104,1,85,0,0
59,1,0,1,0,0,1,64100.0,546,18,7,111,1,93,0,0
31,1,0,0,0,0,1,42670.0,241,11,4,117,0,12,0,0
47,0,1,1,0,1,0,12571.0,53,11,6,108,0,86,0,0
56,1,0,3,0,1,0,22574.0,37,7,7,111,0,28,0,0
47,0,1,0,0,0,1,70893.0,1508,23,3,115,0,42,0,0
57,1,0,2,0,1,0,54198.0,235,16,4,109,0,13,0,0
67,1,0,2,0,0,1,28839.0,32,7,5,98,0,86,0,0
51,1,0,2,0,1,0,40321.0,102,8,7,114,0,59,0,0
38,0,1,1,0,1,0,66503.0,401,15,3,125,0,30,0,0
72,1,0,2,0,1,0,30833.0,28,6,5,114,0,33,0,0
52,1,0,1,0,1,0,64795.0,680,21,2,120,0,23,0,0
49,1,0,1,0,1,0,34421.0,30,4,7,120,0,81,0,0
58,0,1,2,0,0,1,47025.0,20,4,7,100,0,6,0,0
62,0,1,1,0,0,1,64325.0,1307,23,7,114,0,41,0,0
70,0,1,1,0,1,0,40464.0,630,24,8,110,0,78,0,0
66,1,0,0,0,1,0,62187.0,1283,18,3,116,0,49,0,0
47,0,1,1,0,0,1,14849.0,65,9,8,119,0,39,0,0
39,1,0,1,0,1,0,27255.0,37,5,7,114,0,3,0,0
73,1,0,3,0,0,1,54432.0,38,5,4,112,0,37,0,0
37,0,1,1,0,0,1,29999.0,160,12,8,119,0,22,0,0
40,0,1,1,0,1,0,24072.0,23,4,8,117,0,79,0,0
34,0,1,0,0,0,1,33996.0,71,6,4,110,0,46,0,0
67,1,0,1,0,0,1,66334.0,1161,19,5,118,0,82,0,1
52,1,0,1,0,0,1,35178.0,59,5,7,111,1,10,0,1
40,1,0,1,0,1,0,22010.0,33,7,8,115,0,51,0,0
63,0,1,2,0,1,0,62204.0,946,22,3,121,0,38,0,0
55,0,1,0,0,1,0,75693.0,1442,22,4,127,3,10,0,1
51,1,0,1,0,1,0,30675.0,62,5,8,121,0,14,0,0
58,1,0,0,0,1,0,83003.0,1674,22,3,118,1,18,0,1
35,0,1,0,0,1,0,68655.0,1538,21,3,123,0,95,0,0
37,0,1,0,0,1,0,41411.0,139,8,6,114,0,11,0,0
54,1,0,1,0,0,1,55212.0,1182,20,8,122,2,65,0,0
73,1,0,1,0,0,1,59292.0,507,18,3,115,0,71,0,0
50,1,0,1,1,0,0,27190.0,18,4,8,113,1,13,0,1
71,0,1,0,0,1,0,82623.0,940,16,1,111,0,58,0,0
58,1,0,2,0,1,0,44300.0,42,6,6,115,0,65,0,0
53,0,1,0,0,1,0,84835.0,1190,15,1,103,0,0,0,1
52,0,1,2,0,1,0,30372.0,44,8,7,121,0,33,0,0
47,1,0,1,0,0,1,33181.0,16,4,6,106,1,90,0,0
66,1,0,1,0,1,0,71113.0,835,26,4,109,0,95,0,0
37,1,0,1,0,1,0,71952.0,1443,22,4,111,2,93,0,0
57,0,1,0,0,0,1,69759.0,1029,18,3,111,0,38,0,1
49,1,0,0,0,1,0,72099.0,1188,18,1,123,0,18,0,0
47,0,1,1,0,0,1,60000.0,1277,24,6,121,0,57,0,0
45,0,1,2,0,1,0,38643.0,49,7,7,110,0,45,1,0
68,1,0,1,0,1,0,50737.0,99,7,6,110,1,61,0,0
54,1,0,0,0,0,1,68462.0,1670,15,1,121,0,6,0,0
80,1,0,0,0,0,1,65073.0,900,14,2,113,0,65,1,0
75,1,0,2,0,0,1,46681.0,425,16,5,113,0,52,0,0
66,1,0,0,0,1,0,78618.0,2153,22,2,124,1,87,0,0
54,0,1,1,0,0,1,62187.0,636,21,4,106,0,38,0,0
45,1,0,2,0,1,0,28442.0,57,10,4,107,0,53,0,0
45,1,0,1,0,0,1,37717.0,25,4,9,122,0,31,0,0
56,1,0,2,0,1,0,51479.0,494,22,7,121,0,67,0,0
54,0,1,1,0,1,0,54803.0,693,19,4,125,0,65,0,0
63,1,0,0,0,1,0,79530.0,1348,26,2,116,0,64,0,0
47,0,1,1,0,1,0,31615.0,51,7,7,118,0,82,0,0
61,1,0,0,0,1,0,72025.0,1932,16,3,122,0,27,0,0
48,0,1,1,0,0,1,52614.0,990,16,8,132,0,63,0,0
39,1,0,1,0,0,1,35684.0,30,5,6,105,0,66,0,0
48,1,0,2,0,1,0,48178.0,254,16,8,123,0,69,0,0
53,0,1,1,0,0,1,29548.0,29,5,4,113,1,52,0,0
57,0,1,1,0,1,0,63810.0,1371,23,8,122,1,45,0,0
51,0,1,2,0,0,1,38578.0,73,9,8,115,0,2,0,1
48,0,1,2,0,0,1,46098.0,120,11,8,125,0,86,0,0
53,0,1,0,0,1,0,22585.0,81,5,9,118,1,23,0,1
34,0,1,1,0,1,0,30279.0,37,5,8,121,0,13,0,0
62,1,0,1,0,0,1,66426.0,1377,20,6,119,0,14,0,0
54,0,1,1,0,1,0,30822.0,51,5,7,115,0,92,0,0
54,1,0,2,0,0,1,33581.0,17,4,8,113,0,38,0,0
38,1,0,1,0,1,0,19986.0,22,4,7,110,0,74,0,0
69,0,1,0,0,1,0,27421.0,324,14,7,121,0,14,0,0
50,1,0,3,0,0,1,35688.0,211,16,8,125,0,94,0,0
42,0,1,1,0,0,1,36143.0,19,4,3,106,0,33,0,0
52,0,1,1,0,1,0,10245.0,41,8,5,116,0,32,0,0
55,1,0,1,0,0,1,43795.0,492,17,7,111,1,11,0,1
63,1,0,1,0,1,0,63381.0,1005,26,2,128,0,78,0,0
74,1,0,1,0,1,0,38823.0,114,7,6,125,0,56,0,0
55,0,1,2,0,0,1,83664.0,1173,19,5,113,0,57,0,0
44,1,0,0,0,1,0,90300.0,1738,19,1,106,1,7,0,0
44,1,0,1,0,0,1,62499.0,222,12,4,112,0,0,0,0
30,0,1,0,0,1,0,74293.0,1127,16,2,105,0,66,0,0
77,1,0,0,0,0,1,51012.0,209,10,6,117,0,86,0,0
55,1,0,1,0,0,1,70777.0,787,23,3,107,0,80,0,0
32,1,0,0,0,0,1,68682.0,1598,24,2,115,0,56,0,0
52,1,0,2,0,1,0,43824.0,186,12,8,124,0,18,0,0
39,1,0,1,0,1,0,15345.0,47,6,8,125,0,51,0,1
36,0,1,1,0,1,0,23442.0,27,5,7,121,0,71,0,0
43,1,0,1,0,0,1,14515.0,96,11,7,124,0,71,0,1
67,0,1,2,0,0,1,31395.0,64,10,6,118,0,80,0,0
58,1,0,0,0,1,0,75276.0,1040,23,5,124,0,2,0,0
49,0,1,2,0,1,0,42373.0,163,13,5,113,0,83,0,0
63,1,0,0,0,1,0,30507.0,343,11,7,110,0,29,0,0
68,0,1,3,0,0,1,55521.0,446,24,7,111,1,11,0,1
58,1,0,2,0,1,0,48006.0,41,5,6,100,0,55,0,0
51,0,1,1,0,0,1,27213.0,70,9,8,125,0,19,0,1
52,0,1,2,0,0,1,65808.0,272,14,6,104,0,1,0,0
49,1,0,1,0,0,1,30351.0,46,6,9,115,0,19,0,0
